Rk,Player,Pos,G,GS,MP,FGA,eFG%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
135,Damyean Dotson\dotsoda01,SG,44,2,474,161,.516,23,.696,84,31,12,2,17,34,182
136,Milton Doyle\doylemi01,SG,10,0,125,47,.319,8,.500,18,10,6,2,2,13,34
137,PJ Dozier\doziepj01,PG,2,0,3,2,.500,0,,1,0,0,0,1,1,2
138,Goran Dragic\dragigo01,PG,75,75,2378,1075,.502,271,.801,307,359,63,12,166,180,1296
139,Larry Drew\drewla02,PG,10,0,70,24,.354,0,,3,10,0,0,3,6,17
139,Larry Drew\drewla02,PG,3,0,15,7,.143,0,,1,2,0,0,1,2,2
139,Larry Drew\drewla02,PG,7,0,55,17,.441,0,,2,8,0,0,2,4,15
140,Andre Drummond\drumman01,C,78,78,2625,881,.529,395,.605,1247,237,114,127,200,250,1171
141,Jared Dudley\dudleja01,PF,48,0,686,122,.512,35,.771,94,78,24,11,28,85,152
142,Kris Dunn\dunnkr01,PG,52,43,1525,666,.462,114,.737,221,310,104,27,150,174,699
143,Kevin Durant\duranke01,PF,68,68,2325,1222,.586,404,.889,464,366,50,119,207,133,1792
144,Jarell Eddie\eddieja01,SF,3,0,9,2,.000,0,,1,0,1,0,0,0,0
144,Jarell Eddie\eddieja01,SF,2,0,6,1,.000,0,,1,0,1,0,0,0,0
144,Jarell Eddie\eddieja01,SF,1,0,3,1,.000,0,,0,0,0,0,0,0,0
145,Henry Ellenson\ellenhe01,PF,38,0,329,146,.432,29,.862,81,20,5,0,18,22,151
146,Wayne Ellington\ellinwa01,SG,77,2,2041,700,.569,78,.859,218,79,53,8,52,94,864
147,Joel Embiid\embiijo01,C,63,63,1912,1056,.514,467,.769,690,199,40,111,234,209,1445
148,James Ennis\ennisja01,SF,72,22,1604,384,.540,116,.836,224,71,47,18,56,134,512
148,James Ennis\ennisja01,SF,45,14,1053,222,.554,73,.877,157,49,32,12,38,81,310
148,James Ennis\ennisja01,SF,27,8,551,162,.522,43,.767,67,22,15,6,18,53,202
149,Tyler Ennis\ennisty01,PG,54,11,683,224,.451,29,.759,95,105,30,10,38,75,224
150,Jawun Evans\evansja01,PG,48,4,778,253,.381,49,.776,84,100,36,6,44,97,231
151,Jeremy Evans\evansje01,SF,1,0,5,1,1.000,0,,1,0,0,0,1,1,2
152,Tyreke Evans\evansty01,PG,52,32,1607,809,.523,209,.785,265,269,57,17,117,96,1010
153,Dante Exum\exumda01,PG,14,0,235,87,.511,31,.806,26,43,8,3,20,20,114
154,Kenneth Faried\farieke01,PF,32,7,461,148,.514,51,.706,153,18,12,13,23,51,188
155,Derrick Favors\favorde01,C,77,77,2153,702,.573,215,.651,552,102,54,82,88,164,944
156,Kay Felder\feldeka01,PG,16,0,140,70,.329,12,.917,18,20,3,1,16,11,57
156,Kay Felder\feldeka01,PG,14,0,134,66,.333,12,.917,14,20,3,1,15,11,55
156,Kay Felder\feldeka01,PG,2,0,6,4,.250,0,,4,0,0,0,1,0,2
157,Cristiano Felicio\feliccr01,C,55,16,977,215,.591,81,.667,233,55,16,11,54,104,308
158,Raymond Felton\feltora01,PG,82,2,1365,552,.479,44,.818,156,203,49,16,76,91,565
159,Terrance Ferguson\fergute01,SG,61,12,763,169,.533,10,.900,47,19,24,10,11,83,189
160,Yogi Ferrell\ferreyo01,SG,82,21,2282,730,.518,103,.796,249,201,64,9,78,153,838
161,Dorian Finney-Smith\finnedo01,PF,21,13,448,121,.463,15,.733,75,26,10,4,21,43,123
162,Bryn Forbes\forbebr01,SG,80,12,1517,497,.510,72,.667,110,80,28,2,37,108,555
163,Evan Fournier\fournev01,SF,57,57,1837,802,.538,173,.867,180,165,47,16,95,138,1013
164,De'Aaron Fox\foxde01,PG,73,60,2026,797,.441,195,.723,204,320,70,20,173,163,844
165,Tim Frazier\fraziti01,PG,59,11,838,172,.445,30,.767,115,194,47,7,57,97,176
166,Channing Frye\fryech01,C,53,1,695,212,.583,19,.895,135,38,18,13,21,69,264
166,Channing Frye\fryech01,C,44,1,545,169,.586,15,.933,110,28,17,12,17,54,212
166,Channing Frye\fryech01,C,9,0,150,43,.570,4,.750,25,10,1,1,4,15,52
167,Markelle Fultz\fultzma01,SG,14,0,253,111,.405,21,.476,43,53,12,4,17,22,100
168,Danilo Gallinari\gallida01,SF,21,21,671,256,.469,87,.931,101,41,12,10,26,30,321
169,Langston Galloway\gallola01,SG,58,2,863,340,.481,41,.805,92,58,35,5,18,39,360
170,Marc Gasol\gasolma01,C,73,73,2408,1033,.473,337,.834,592,305,54,101,194,185,1258
171,Pau Gasol\gasolpa01,C,77,63,1812,627,.492,209,.756,619,238,24,79,108,121,775
172,Rudy Gay\gayru01,PF,57,6,1231,537,.506,145,.772,291,73,46,38,78,98,655
173,Paul George\georgpa01,SF,79,79,2891,1340,.521,411,.822,447,263,161,39,212,233,1734
174,Marcus Georges-Hunt\georgma01,SG,42,0,224,48,.479,21,.619,16,7,6,0,3,32,59
175,Jonathan Gibson\gibsojo01,PG,4,0,40,23,.739,0,,3,4,0,0,3,5,34
176,Taj Gibson\gibsota01,PF,82,82,2726,737,.581,185,.768,584,99,62,59,89,218,999
177,Manu Ginobili\ginobma01,SG,65,0,1299,463,.503,131,.840,142,163,43,16,105,126,576
178,Rudy Gobert\goberru01,C,56,56,1816,444,.622,299,.682,601,80,44,129,107,153,756
179,Aaron Gordon\gordoaa01,PF,58,57,1909,865,.500,225,.698,457,136,59,45,107,111,1022
180,Eric Gordon\gordoer01,SG,69,30,2154,970,.540,241,.809,170,154,44,27,130,116,1243
181,Marcin Gortat\gortama01,C,82,82,2075,560,.518,163,.675,623,151,40,61,99,175,690
182,Treveon Graham\grahatr01,SG,63,2,1050,221,.525,59,.695,121,59,33,2,27,109,273
183,Jerami Grant\grantje01,PF,81,1,1647,456,.570,240,.675,319,57,31,77,54,155,682
184,Jerian Grant\grantje02,PG,74,26,1686,503,.476,188,.745,172,342,63,8,89,132,619
185,Josh Gray\grayjo01,PG,5,0,86,41,.305,11,.636,10,12,8,2,7,8,32
186,Danny Green\greenda02,SG,70,60,1791,561,.490,65,.769,249,110,63,80,74,122,600
187,Draymond Green\greendr01,PF,70,70,2287,619,.516,173,.775,535,508,95,91,202,185,773
188,Gerald Green\greenge01,SG,41,2,929,413,.540,60,.850,133,25,24,15,31,87,497
189,JaMychal Green\greenja01,PF,55,54,1542,488,.501,111,.721,464,79,32,25,76,153,569
190,Jeff Green\greenje02,PF,78,13,1828,618,.520,234,.868,246,99,41,34,75,149,846
191,Blake Griffin\griffbl01,PF,58,58,1970,996,.493,330,.785,428,334,41,18,165,139,1242
191,Blake Griffin\griffbl01,PF,33,33,1139,578,.497,219,.785,262,179,30,9,99,78,746
191,Blake Griffin\griffbl01,PF,25,25,831,418,.489,111,.784,166,155,11,9,66,61,496
192,Daniel Hamilton\hamilda02,SG,6,0,28,11,.545,0,,5,8,1,0,2,2,12
193,Tim Hardaway\hardati02,SG,57,54,1885,856,.496,179,.816,224,155,62,10,92,123,996
194,James Harden\hardeja01,SG,72,72,2551,1449,.541,727,.858,389,630,126,50,315,169,2191
195,Maurice Harkless\harklma01,SF,59,36,1264,297,.577,59,.712,162,53,48,43,40,103,385
196,Montrezl Harrell\harremo01,C,76,3,1293,548,.636,222,.626,306,74,36,52,68,143,836
197,Devin Harris\harride01,PG,71,1,1340,454,.499,170,.835,127,152,47,12,76,158,595
197,Devin Harris\harride01,PG,44,1,807,284,.493,112,.830,85,85,33,8,49,103,373
197,Devin Harris\harride01,PG,27,0,533,170,.509,58,.845,42,67,14,4,27,55,222
198,Gary Harris\harriga01,SG,67,65,2304,908,.570,162,.827,176,194,122,15,119,119,1170
199,Joe Harris\harrijo01,SG,78,14,1975,621,.612,104,.827,260,128,35,20,91,153,846
200,Tobias Harris\harrito02,PF,80,80,2668,1221,.535,216,.829,437,192,71,35,105,164,1486
200,Tobias Harris\harrito02,PF,48,48,1563,709,.531,136,.846,244,94,34,15,51,91,868
200,Tobias Harris\harrito02,PF,32,32,1105,512,.541,80,.800,193,98,37,20,54,73,618
201,Aaron Harrison\harriaa01,SG,9,3,233,69,.341,17,.765,24,11,9,2,3,27,60
202,Andrew Harrison\harrian01,PG,56,46,1326,429,.477,159,.780,131,177,38,26,81,138,533
203,Shaquille Harrison\harrish01,PG,23,2,384,124,.500,38,.737,61,55,26,7,22,42,152
204,Josh Hart\hartjo01,SG,63,23,1461,375,.573,94,.702,263,80,47,16,47,107,496
205,Udonis Haslem\hasleud01,C,14,0,72,15,.233,2,.500,10,5,0,2,2,3,8
206,Nigel Hayes\hayesni01,SF,9,0,122,33,.394,3,.333,22,6,2,3,2,8,27
206,Nigel Hayes\hayesni01,SF,2,0,11,3,.333,1,1.000,0,2,0,0,0,0,3
206,Nigel Hayes\hayesni01,SF,2,0,6,2,1.500,0,,0,0,0,0,1,0,6
206,Nigel Hayes\hayesni01,SF,5,0,105,28,.321,2,.000,22,4,2,3,1,8,18
207,Gordon Hayward\haywago01,SF,1,1,5,2,.500,0,,1,0,0,0,0,1,2
208,Reggie Hearn\hearnre01,SG,3,0,7,2,.750,0,,0,0,0,0,0,0,3
209,Myke Henry\henrymy01,SF,20,0,378,109,.463,10,.600,38,22,31,6,19,28,107
210,John Henson\hensojo01,C,76,69,1970,502,.573,158,.570,513,114,45,109,84,202,665
211,Juan Hernangomez\hernaju01,PF,25,3,277,75,.480,12,.833,54,12,6,3,9,25,82
212,Willy Hernangomez\hernawi01,C,48,1,495,164,.570,90,.656,183,33,18,16,35,64,246
212,Willy Hernangomez\hernawi01,C,26,0,233,81,.611,28,.429,67,21,8,7,26,32,111
212,Willy Hernangomez\hernawi01,C,22,1,262,83,.530,62,.758,116,12,10,9,9,32,135
213,Mario Hezonja\hezonma01,SF,75,30,1657,617,.515,105,.819,281,106,81,31,86,134,722
214,Isaiah Hicks\hicksis01,PF,18,0,240,72,.472,18,.667,41,16,2,4,16,45,80
215,Buddy Hield\hieldbu01,SG,80,12,2024,933,.540,81,.877,307,155,85,22,124,148,1079
216,Nene Hilario\hilarne01,C,52,4,758,239,.569,107,.636,176,45,28,14,38,123,340
217,George Hill\hillge01,PG,67,60,1812,513,.543,140,.786,181,186,61,27,88,128,667
217,George Hill\hillge01,PG,43,36,1143,326,.558,99,.778,117,119,39,12,60,75,441
217,George Hill\hillge01,PG,24,24,669,187,.516,41,.805,64,67,22,15,28,53,226
218,Solomon Hill\hillso01,SF,12,1,187,41,.317,6,.500,36,22,7,1,9,22,29
219,Darrun Hilliard\hillida01,SG,14,0,95,19,.263,7,.857,7,11,2,0,4,7,16
220,Jrue Holiday\holidjr01,SG,81,81,2927,1244,.543,238,.786,365,486,123,64,213,201,1537
221,Justin Holiday\holidju01,SG,72,72,2265,782,.474,164,.823,291,153,80,31,93,134,876
