"Rank,""Country"",""2018 Population"",""2017 Population"",""Growth Rate"",""Area"",""2018 Density"""
"35,""Sudan"",41511.526,40533.33,1.024133126984632,1886068,22.009559570492687"
"36,""Iraq"",39339.753,38274.617999999995,1.0278287558611297,438317,89.75183029633804"
"37,""Poland"",38104.832,38170.712,0.9982740693964525,312679,121.8656577512401"
"38,""Canada"",36953.765,36624.199,1.0089985858803356,9984670,3.701050209971887"
"39,""Afghanistan"",36373.176,35530.081,1.0237290480705632,652230,55.76740720298054"
"40,""Morocco"",36191.805,35739.58,1.012653338399612,446550,81.04759825327511"
"41,""Saudi Arabia"",33554.343,32938.212999999996,1.0187056292337415,2149690,15.608921751508356"
"42,""Peru"",32551.815,32165.485,1.0120107002894563,1285216,25.32789429947962"
"43,""Venezuela"",32381.221,31977.065,1.012638933560663,916445,35.333512649422495"
"44,""Uzbekistan"",32364.996,31910.641,1.0142383539083404,447400,72.34017881090746"
"45,""Malaysia"",32042.458,31624.264,1.0132238334463688,330803,96.8626584402197"
"46,""Angola"",30774.205,29784.193,1.0332395106357255,1246700,24.68453116226839"
"47,""Mozambique"",30528.673,29668.834,1.0289812198214463,801590,38.08514702029716"
"48,""Nepal"",29624.035,29304.998,1.0108867777435098,147181,201.27621771831963"
"49,""Ghana"",29463.642999999996,28833.629,1.0218499724748487,238533,123.5201963669597"
"50,""Yemen"",28915.284,28250.42,1.023534658953743,527968,54.76711467361658"
"51,""Madagascar"",26262.81,25570.895,1.027058693096194,587041,44.73760776504537"
"52,""North Korea"",25610.672000000002,25490.965,1.0046960560339713,120538,212.46969420431734"
"53,""Ivory Coast"",24905.842999999997,24294.75,1.0251532944360406,322463,77.23628137181629"
"54,""Australia"",24772.247000000003,24450.561,1.0131565897404153,7692024,3.220510882441345"
"55,""Cameroon"",24678.234,24053.727000000003,1.0259630035711305,475442,51.905877057559074"
"56,""Taiwan"",23694.089,23626.456000000002,1.0028625960660371,36193,654.6594369076894"
"57,""Niger"",22311.375,21477.347999999998,1.03883286707465,1267000,17.609609313338595"
"58,""Sri Lanka"",20950.041,20876.917,1.0035026244536012,65610,319.31170553269317"
"59,""Burkina Faso"",19751.651,19193.381999999998,1.029086536182107,272967,72.35911666978059"
"60,""Romania"",19580.634,19679.306,0.9949860020470233,238391,82.13663267489125"
"61,""Malawi"",19164.728,18622.104,1.0291387052719714,118484,161.74950204246986"
"62,""Mali"",19107.706000000002,18541.98,1.0305105495745333,1240192,15.407054714108787"
"63,""Kazakhstan"",18403.86,18204.499,1.010951193987816,2724900,6.753957943410767"
"64,""Syria"",18284.407,18269.868000000002,1.0007957911901715,185180,98.73856247974943"
"65,""Chile"",18197.209,18054.726000000002,1.0078917287362874,756102,24.067135121980897"
"66,""Zambia"",17609.178,17094.13,1.03013010899063,752612,23.397418590189897"
"67,""Guatemala"",17245.346,16913.503,1.0196200042061068,108889,158.37546492299498"
"68,""Netherlands"",17084.459,17035.938000000002,1.0028481554699247,41850,408.2308004778973"
"69,""Zimbabwe"",16913.261000000002,16529.904,1.0231917257353704,390757,43.28332185987712"
"70,""Ecuador"",16863.425,16624.858,1.014350017305411,276841,60.91375554921417"
"71,""Senegal"",16294.27,15850.567,1.0279928787405523,196722,82.82891593212757"
"72,""Cambodia"",16245.729,16005.373,1.0150172070341628,181035,89.73805617698235"
"73,""Chad"",15353.184,14899.993999999999,1.0304154484894423,1284000,11.957308411214953"
"74,""Somalia"",15181.925,14742.523000000001,1.0298050747487386,637657,23.80892078343059"
"75,""Guinea"",13052.608,12717.176000000001,1.0263762961210885,245857,53.09024351553952"
"76,""South Sudan"",12919.053,12575.714,1.0273017500238952,619745,20.845755915739538"
"77,""Rwanda"",12501.156,12208.407,1.0239792955788583,26338,474.64332903029845"
"78,""Tunisia"",11659.173999999999,11532.127,1.0110167881432452,163610,71.26198887598558"
"79,""Belgium"",11498.518999999998,11429.336000000001,1.0060531075471049,30528,376.654841457023"
